id,key,symbol,name,address,decimals
222,CVX-9D2B,CVX,Convex Token,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,18
223,ICE-7DF9,ICE,IceToken,0xf16e81dce15B08F326220742020379B855B87DF9,18
224,ILSI-cd69,ILSI,Invest Like Stakeborg Index,0x0acC0FEE1D86D2cD5AF372615bf59b298D50cd69,18
225,UST-87a5,UST,UST,0xa693B19d2931d498c5B318dF961919BB4aee87a5,6
226,PREMIA-0E70,PREMIA,Premia,0x6399C842dD2bE3dE30BF99Bc7D1bBF6Fa3650E70,18
227,BIT-a4C5,BIT,BitDAO,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,18
228,YGG-CF73,YGG,Yield Guild Games Token,0x25f8087EAD173b73D6e8B84329989A8eEA16CF73,18
229,BAND-7f55,BAND,BandToken,0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,18
230,IQ-b0C9,IQ,Everipedia IQ,0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9,18
236,Test,Test,Test Token,Test,18
239,Pair,Pair,Test Token,Pair,18
