id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,fee_float
36,6805647338418769269267492148635364229154,2023-04-26 14:17:54.008277,17130945,carbon_v1 LBR-aCcA/ETH-EEeE None,LBR-aCcA/ETH-EEeE,carbon_v1,0,nan,nan,0,0,0,0,500000000000000000,500000000000000000,824421119442,1990328647664,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
37,7145929705339707732730866756067132440612,2023-04-26 14:17:54.01037,17130945,carbon_v1 PEPE-1933/ETH-EEeE None,PEPE-1933/ETH-EEeE,carbon_v1,0,nan,nan,0,0,0,4944431896972025,400000000000000000,400000000000000000,0,2686575069,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
38,7145929705339707732730866756067132440620,2023-04-26 14:17:54.012789,17130945,carbon_v1 PEPE-1933/ETH-EEeE None,PEPE-1933/ETH-EEeE,carbon_v1,0,nan,nan,0,0,0,4954848093222334,2500000000000000000,2500000000000000000,0,3330456838,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
39,7145929705339707732730866756067132440621,2023-04-26 14:17:54.01499,17130945,carbon_v1 PEPE-1933/ETH-EEeE None,PEPE-1933/ETH-EEeE,carbon_v1,0,nan,nan,0,0,0,4966570098287863,500000000000000000,500000000000000000,0,2952134461,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
40,7486212072260646196194241363498900652071,2023-04-26 14:17:54.017422,17130945,carbon_v1 LYXe-be6D/USDC-eB48 None,LYXe-be6D/USDC-eB48,carbon_v1,0,nan,nan,7503700798507554270523,7503700798507554270523,0,5334985036791808,0,0,0,0,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
41,8166776806102523123120990578362437074987,2023-04-26 14:17:54.018806,17130945,carbon_v1 HRP-12Bf/ETH-EEeE None,HRP-12Bf/ETH-EEeE,carbon_v1,0,nan,nan,0,0,0,0,0,0,824421119442,1990328647664,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
42,8507059173023461586584365185794205286446,2023-04-26 14:17:54.020085,17130945,carbon_v1 Silo-B1f8/USDC-eB48 None,Silo-B1f8/USDC-eB48,carbon_v1,0,nan,nan,0,0,0,6409950565275210,0,0,0,0,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
43,8847341539944400050047739793225973497903,2023-04-26 14:17:54.021141,17130945,carbon_v1 LINK-86CA/USDC-eB48 None,LINK-86CA/USDC-eB48,carbon_v1,0,nan,nan,342883761365849716133,342883761365849716133,3815413684211520,5538433047929310,0,0,20754999,733996938,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
44,9187623906865338513511114400657741709362,2023-04-26 14:17:54.0225,17130945,carbon_v1 ETH-EEeE/WBTC-C599 None,ETH-EEeE/WBTC-C599,carbon_v1,0,nan,nan,4999535469854983481,4999535469854983481,4431814251932800,5537837088750967,26579371,19716633,55242720,689470068,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
45,9527906273786276976974489008089509920820,2023-04-26 14:17:54.0242,17130945,carbon_v1 WBTC-C599/USDT-1ec7 None,WBTC-C599/USDT-1ec7,carbon_v1,0,nan,nan,0,0,269663939622,16673138657182,200000000,200000000,77159260759712,1550564903808408,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
