id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,tkn0,tkn1,tkn0_address,tkn0_decimals,tkn1_address,tkn1_decimals
569,7145929705339707732730866756067132441149,2023-04-23 02:51:10.350216,17105048,uniswap_v3 WETH-6Cc2/wCFG-34F0 10000,WETH-6Cc2/wCFG-34F0,uniswap_v3,10000,,,,,,,,,,,6860788545424384015842908062021,89229,200,160890752237997332757,0x05f63dc38bfeb686ca68B9D237b192cB43067Ce0,,WETH-6Cc2,wCFG-34F0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,0xc221b7E65FfC80DE234bbB6667aBDd46593D34F0,18
570,7145929705339707732730866756067132441150,2023-04-23 02:51:11.257672,17105048,uniswap_v3 NFT-850a/WETH-6Cc2 3000,NFT-850a/WETH-6Cc2,uniswap_v3,3000,,,,,,,,,,,1321200629896718895419568197949,56282,60,456557312704325049,0xE6d1e0f7553D7E5fa1c93DCc6AC3347b9e8528DA,,NFT-850a,WETH-6Cc2,0x198d14F2Ad9CE69E76ea330B374DE4957C3F850a,6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
571,7145929705339707732730866756067132441151,2023-04-23 02:51:12.173789,17105048,uniswap_v3 SHIB-C4cE/USDT-1ec7 3000,SHIB-C4cE/USDT-1ec7,uniswap_v3,3000,,,,,,,,,,,251965029698912859225,-391346,60,674154314923532701,0xB0cC75ed5AaBB0aCce7cbf0302531Bb260d259C4,,SHIB-C4cE,USDT-1ec7,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,18,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
572,7145929705339707732730866756067132441152,2023-04-23 02:51:13.088731,17105049,uniswap_v3 WETH-6Cc2/ALIS-4fAB 10000,WETH-6Cc2/ALIS-4fAB,uniswap_v3,10000,,,,,,,,,,,24384821423924689237229722718071,114593,200,765324410099788679249,0x3c7079A2546A5D113B9D970fa4102aee86501B92,,WETH-6Cc2,ALIS-4fAB,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,0xEA610B1153477720748DC13ED378003941d84fAB,18
573,7145929705339707732730866756067132441153,2023-04-23 02:51:13.982404,17105049,uniswap_v3 UFO-DC3B/USDC-eB48 3000,UFO-DC3B/USDC-eB48,uniswap_v3,3000,,,,,,,,,,,98358895879666889968,-410160,60,8330865600560512041,0xA960C6a9C460780D524709824e60252A9292d9d3,,UFO-DC3B,USDC-eB48,0x249e38Ea4102D0cf8264d3701f1a0E39C4f2DC3B,18,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
574,7145929705339707732730866756067132441154,2023-04-23 02:51:14.887523,17105049,uniswap_v3 DIE-4aC7/WETH-6Cc2 10000,DIE-4aC7/WETH-6Cc2,uniswap_v3,10000,,,,,,,,,,,400762272769049820192985,-243902,200,3964176324836852903532,0xeF6319BB78f511c2f391b60DedA017Ea83EBE0E8,,DIE-4aC7,WETH-6Cc2,0x6Ef6610d24593805144d73b13d4405E00A4E4aC7,18,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
575,7145929705339707732730866756067132441155,2023-04-23 02:51:15.76662,17105049,uniswap_v3 TAMA-88c8/USDT-1ec7 10000,TAMA-88c8/USDT-1ec7,uniswap_v3,10000,,,,,,,,,,,14031464619648355690789,-310947,200,1218763379758234,0x141df9A608856D1651c9a3c27b39960ff0418A12,,TAMA-88c8,USDT-1ec7,0x12b6893cE26Ea6341919FE289212ef77e51688c8,18,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
576,7145929705339707732730866756067132441156,2023-04-23 02:51:16.664509,17105049,uniswap_v3 USDC-eB48/DSD-66e3 10000,USDC-eB48/DSD-66e3,uniswap_v3,10000,,,,,,,,,,,801123252178163799685397177544392858,322599,200,7630578965289428,0xEf2eC1B275f7EFBC66FB096bD72fa982A1BDeF12,,USDC-eB48,DSD-66e3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,0xBD2F0Cd039E0BFcf88901C98c0bFAc5ab27566e3,18
578,7145929705339707732730866756067132441158,2023-04-23 02:51:18.527528,17105050,uniswap_v3 BTSG-54A9/WETH-6Cc2 10000,BTSG-54A9/WETH-6Cc2,uniswap_v3,10000,,,,,,,,,,,507927938954948353208751118,-101001,200,0,0x802e79ed746316E5ed7D2CfddAfcd87ADE96F7aB,,BTSG-54A9,WETH-6Cc2,0x05079687D35b93538cbd59fe5596380cae9054A9,18,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
579,7145929705339707732730866756067132441159,2023-04-23 02:51:19.419304,17105050,uniswap_v3 MNE-d0E0/WETH-6Cc2 10000,MNE-d0E0/WETH-6Cc2,uniswap_v3,10000,,,,,,,,,,,18721166518660320424279962329726,109307,200,1204328110408405,0xA4a739639022750a5e672832EBC806b0ebEe8C77,,MNE-d0E0,WETH-6Cc2,0x426CA1eA2406c07d75Db9585F22781c096e3d0E0,8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
580,7145929705339707732730866756067132441160,2023-04-23 02:51:20.333712,17105050,uniswap_v3 ISHND-5dbf/WETH-6Cc2 3000,ISHND-5dbf/WETH-6Cc2,uniswap_v3,3000,,,,,,,,,,,254653419462928038045492656,-114810,60,5247867786616661849560,0xC6FBD718d5378a809D3BedEF4449BdEe553941eF,,ISHND-5dbf,WETH-6Cc2,0x9e6b19874e97fe8E8CAD77f2c0AB5E7a693E5dbf,18,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
