,key,symbol,name,address,decimals,blockchain
99,K12x-8409,K12x,K12x,0xD3E6Ae3978Ecd699013478e7b3495989e0e48409,9.0,ethereum
100,YFIVE-119C,YFIVE,YFIVE,0xd3E8695d2Bef061EAb38B5EF526c0f714108119C,18.0,ethereum
101,UMC-c37E,UMC,UMC,0xd3EC111e4E33C0a1c32e3AD0BE976214d30Dc37E,18.0,ethereum
102,DRAGONEBORN-461E,DRAGONEBORN,DRAGONEBORN,0xd3F0A0DcB83A4a82a4fEBAaC65212fE74CA6461E,9.0,ethereum
103,CSI-4c13,CSI,CSI,0xD3F3e889086040ee1507f717fC22720134ED4c13,18.0,ethereum
104,BAIC-4faa,BAIC,BAIC,0xd3fb367Eb868527F0827A6BD61e5D9241B4D4faa,9.0,ethereum
105,AMR-66C7,AMR,AMR,0xd3Fb5cAbd07c85395667f83D20b080642BdE66C7,16.0,ethereum
106,GMIMAX-2f7A,GMIMAX,GMIMAX,0xD40038Bb8dE2C21Ef754a81A4DC47CAc5c352f7A,18.0,ethereum
107,DCT-8106,DCT,DCT,0xd401225501717fE2d9B411A043ebAdE30f688106,9.0,ethereum
108,CAP-3B51,CAP,CAP,0xD405719fD7EFfba6449aCBb377d1e6B542Fd3B51,9.0,ethereum
109,KWA-9a90,KWA,KWA,0xD40795547eB19e57d7749EB1065bDF25b9319a90,18.0,ethereum
110,UCAT-5abF,UCAT,UCAT,0xD411c5A9D00E147754834769232880E264255abF,9.0,ethereum
111,HIKARI-4e39,HIKARI,HIKARI,0xd4126f195a8de772EeFfa61a4aB6dd43462F4e39,18.0,ethereum
112,CQT-6240,CQT,CQT,0xD417144312DbF50465b1C641d016962017Ef6240,18.0,ethereum
113,ETE-2FEc,ETE,ETE,0xD4199C5c0869b344de8E7f17a89f060e73612FEc,9.0,ethereum
114,BALTO-583D,BALTO,BALTO,0xD41c60C446968aCDa4fE5927996EdC573662583D,18.0,ethereum
115,LORE-6eBf,LORE,LORE,0xd4241270823E4c532804B115C0e37116144D6eBf,18.0,ethereum
