id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol
514,514,2023-05-03 18:10:59.727173,17181882,uniswap_v3 PAPER-0e8C/USDT-1ec7 10000,PAPER-0e8C/USDT-1ec7,uniswap_v3,10000.0,0.01,,,,,,,,,,,3556203228938285416664,-338400.0,200.0,147546232414488123,0x5cDb1F3289A1f4C769580699C048C3a1F3D32f17,,0x7aE1D57b58fA6411F32948314BadD83583eE0e8C,0xdAC17F958D2ee523a2206206994597C13D831ec7,PAPER-0e8C,USDT-1ec7,18,6,4,PAPER,USDT
515,515,2023-05-03 18:11:02.047957,17181882,uniswap_v3 USDC-eB48/EURT-E491 500,USDC-eB48/EURT-E491,uniswap_v3,500.0,0.0005,,,,,,,,,,,75778815490302292734374658612,-891.0,10.0,32871173995,0x1754b94A3e63Be72efe44a1828cd81C4782a46C4,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC581b735A1688071A1746c968e0798D642EDE491,USDC-eB48,EURT-E491,6,6,4,USDC,EURT
516,516,2023-05-03 18:11:04.263114,17181883,uniswap_v3 GOB-8A80/USDT-1ec7 3000,GOB-8A80/USDT-1ec7,uniswap_v3,3000.0,0.003,,,,,,,,,,,2894088736623128062435,-342521.0,60.0,311224818253430248,0x3D88601cA5F0CB49431172fD7095CDa9A4EB0508,,0xd6929179D752d5D25c5efe2d9729eb77D7138A80,0xdAC17F958D2ee523a2206206994597C13D831ec7,GOB-8A80,USDT-1ec7,18,6,4,GOB,USDT
517,517,2023-05-03 18:11:06.488713,17181883,uniswap_v3 USDC-eB48/oSQTH-E86B 3000,USDC-eB48/oSQTH-E86B,uniswap_v3,3000.0,0.003,,,,,,,,,,,7365899935848805219139435717493514,228812.0,60.0,959278927976025,0xD48645e2a42237772B39277D2d4c9d6FaB434BDb,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xf1B99e3E573A1a9C5E6B2Ce818b617F0E664E86B,USDC-eB48,oSQTH-E86B,6,18,4,USDC,oSQTH
518,518,2023-05-03 18:11:08.700752,17181883,uniswap_v3 SDEX-BEeF/USDT-1ec7 3000,SDEX-BEeF/USDT-1ec7,uniswap_v3,3000.0,0.003,,,,,,,,,,,5007547695292136939133,-331555.0,60.0,123997143927126302,0xfBb734325C916AE5e655D94bd1e89B97DDd39a4B,,0x5DE8ab7E27f6E7A1fFf3E5B337584Aa43961BEeF,0xdAC17F958D2ee523a2206206994597C13D831ec7,SDEX-BEeF,USDT-1ec7,18,6,4,SDEX,USDT
519,519,2023-05-03 18:11:10.912066,17181883,uniswap_v3 XCM-8e25/USDC-eB48 10000,XCM-8e25/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,29067782916275076860064,-296380.0,200.0,7646944753822172,0x94434B7A95d754dFC471C76D159068191D2e96cB,,0x36ac219f90f5A6A3C77f2a7B660E3cC701f68e25,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,XCM-8e25,USDC-eB48,18,6,4,XCM,USDC
520,520,2023-05-03 18:11:13.17812,17181883,uniswap_v3 BRZ-2e2B/USDC-eB48 500,BRZ-2e2B/USDC-eB48,uniswap_v3,500.0,0.0005,,,,,,,,,,,351741698124599604931502577062,29812.0,10.0,115228527463,0x733f6c5Aea6314EFbD34195B1aE7f070379aa3f0,,0x420412E765BFa6d85aaaC94b4f7b708C89be2e2B,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,BRZ-2e2B,USDC-eB48,4,6,4,BRZ,USDC
521,521,2023-05-03 18:11:15.420586,17181883,uniswap_v3 USDC-eB48/0xBTC-5B31 10000,USDC-eB48/0xBTC-5B31,uniswap_v3,10000.0,0.01,,,,,,,,,,,1979644913394544889752608235694,64370.0,200.0,76791390102,0xc01435E578eb3182cABE05F11DB2bEa493dbe7CA,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xB6eD7644C69416d67B522e20bC294A9a9B405B31,USDC-eB48,0xBTC-5B31,6,8,4,USDC,0xBTC
522,522,2023-05-03 18:11:17.718273,17181884,uniswap_v3 XAUt-2F38/USDT-1ec7 500,XAUt-2F38/USDT-1ec7,uniswap_v3,500.0,0.0005,,,,,,,,,,,1461446703485210103287273052203988822378723970341,887271.0,10.0,0,0x6546055f46e866a4B9a4A13e81273e3152BAE5dA,,0x68749665FF8D2d112Fa859AA293F07A622782F38,0xdAC17F958D2ee523a2206206994597C13D831ec7,XAUt-2F38,USDT-1ec7,6,6,4,XAUt,USDT
523,523,2023-05-03 18:11:19.977105,17181884,uniswap_v3 USDC-eB48/ETHV-aC76 10000,USDC-eB48/ETHV-aC76,uniswap_v3,10000.0,0.01,,,,,,,,,,,7865006490321875558810527879810562,230123.0,200.0,5887265512047311,0x113eCD438BFf3E63A95b0B9d18c38BbF066db5A0,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC53342fd7575f572b0fF4569e31941A5B821aC76,USDC-eB48,ETHV-aC76,6,18,4,USDC,ETHV
524,524,2023-05-03 18:11:22.138595,17181884,uniswap_v3 USDC-eB48/FET-Ad85 10000,USDC-eB48/FET-Ad85,uniswap_v3,10000.0,0.01,,,,,,,,,,,143089435942944550302405254367166939,288147.0,200.0,5039221754639275,0xc931D9fEFd06A8361d8057501F1EC522cF69c573,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,USDC-eB48,FET-Ad85,6,18,4,USDC,FET
525,525,2023-05-03 18:11:24.315786,17181884,uniswap_v3 RAI-4919/USDC-eB48 500,RAI-4919/USDC-eB48,uniswap_v3,500.0,0.0005,,,,,,,,,,,131045472495604234569581,-266260.0,10.0,30944729090599679,0xFA7D7A0858a45C1b3b7238522A0C0d123900c118,,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,RAI-4919,USDC-eB48,18,6,4,RAI,USDC
526,526,2023-05-03 18:11:25.744914,17181884,uniswap_v3 LINK-86CA/WETH-6Cc2 10000,LINK-86CA/WETH-6Cc2,uniswap_v3,10000.0,0.01,,,,,,,,,,,4858678838395210284072076001,-55835.0,200.0,131637586514663017231,0x3A0f221eA8B150f3D3d27DE8928851aB5264bB65,,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,LINK-86CA,WETH-6Cc2,18,18,4,LINK,WETH
527,527,2023-05-03 18:11:27.93151,17181885,uniswap_v3 USDP-89E1/USDT-1ec7 500,USDP-89E1/USDT-1ec7,uniswap_v3,500.0,0.0005,,,,,,,,,,,78624802335099208815045,-276477.0,10.0,0,0x3c1b69B1A15d15b95a4B6525DB43f0b3aFCfffAF,,0x8E870D67F660D95d5be530380D0eC0bd388289E1,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDP-89E1,USDT-1ec7,18,6,4,USDP,USDT
528,528,2023-05-03 18:11:29.447018,17181885,uniswap_v3 USDC-eB48/stETH-fE84 3000,USDC-eB48/stETH-fE84,uniswap_v3,3000.0,0.003,,,,,,,,,,,1842250655487354905287994353803295,201093.0,60.0,209956262242319,0x6c83b0Feef04139EB5520b1cE0e78069C6E7e2c5,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,USDC-eB48,stETH-fE84,6,18,4,USDC,stETH
529,529,2023-05-03 18:11:31.626582,17181885,uniswap_v3 CHZ-b4AF/USDC-eB48 10000,CHZ-b4AF/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,28321110251731822692848,-296900.0,200.0,11346745286824683,0xC5bccF768e4242a0b518608B4843988eC5Fb24D9,,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,CHZ-b4AF,USDC-eB48,18,6,4,CHZ,USDC
530,530,2023-05-03 18:11:33.824932,17181885,uniswap_v3 TXA-A830/USDT-1ec7 3000,TXA-A830/USDT-1ec7,uniswap_v3,3000.0,0.003,,,,,,,,,,,59296784758131495285870,-282120.0,60.0,1195202026731513691,0x5B308BeD0b0D0ef17ABFA93d5F48f2B1753BBd4D,,0x4463e6A3dEd0dBE3F6e15bC8420dFc55e5FeA830,0xdAC17F958D2ee523a2206206994597C13D831ec7,TXA-A830,USDT-1ec7,18,6,4,TXA,USDT
