,pair,pair_reverse,exchange_name,exchange,address,address0,address1,symbol0,symbol1,fee,decimal0,decimal1,exchange_version,exchange_id,exchange_type,anchor
125,BNT_MPH,MPH_BNT,bancor,bancor_v2,0xDF3FDFbcE72Da4FD42E7CFdE7249E15357c7D808,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8888801aF4d980682e47f1A9036e589479e835C5,BNT,MPH,0.002,18,18,v2,1,Constant Product Pool,0xAbf26410b1cfF45641aF087eE939E52e328ceE46
126,BNT_NDX,NDX_BNT,bancor,bancor_v2,0xbff308A38e160D1B9F25D2C0545a98A930942750,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x86772b1409b61c639EaAc9Ba0AcfBb6E238e5F83,BNT,NDX,0.002,18,18,v2,1,Constant Product Pool,0xdc2e3142c5803e040FEb2d2E3c09c865FC5e3d0C
127,BNT_NEXO,NEXO_BNT,bancor,bancor_v2,0x17042da6699F6e90DB608E8Bb963C436A7eaA036,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xB62132e35a6c13ee1EE0f84dC5d40bad8d815206,BNT,NEXO,0.002,18,18,v2,1,Constant Product Pool,0x2Cf857c482A3FB371f20C753e3D259e3d233e3C0
128,BNT_NMR,NMR_BNT,bancor,bancor_v2,0x96C56c18d78E2b0ACc2F8184e9D6dBf4d0488f1a,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,BNT,NMR,0.005,18,18,v2,1,Constant Product Pool,0x9Cbb076C3dc14F025bE30b4Cc34c33107D602A44
129,BNT_NOIA,NOIA_BNT,bancor,bancor_v2,0x5e7247044F6A292D45a25a64279207496F31B9B5,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xa8c8CfB141A3bB59FEA1E2ea6B79b5ECBCD7b6ca,BNT,NOIA,0.002,18,18,v2,1,Constant Product Pool,0x058e76592d50BB0De5083A30FB878C9715a96CA1
130,BNT_OPIUM,OPIUM_BNT,bancor,bancor_v2,0xceeb324ff0fF9F651f69391Cc07a94C2a8aEDF28,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x888888888889C00c67689029D7856AAC1065eC11,BNT,OPIUM,0.002,18,18,v2,1,Constant Product Pool,0xd0cB485b5b64B288F94D9c6ABA2982f5d60f2954
131,PHTR_BNT,BNT_PHTR,bancor,bancor_v2,0x9b28C68DE48d1f071D36E1C357095Eb471052010,0xE1Fc4455f62a6E89476f1072530C20CF1A0622dA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,PHTR,BNT,0.01,18,18,v2,1,Constant Product Pool,0x10c301D7968a743bb3dee90fB4A694C9c00E78A2
132,BNT_PLR,PLR_BNT,bancor,bancor_v2,0xE49a4605f381f2e8da0DC08FE0e4141d68DD0C19,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xe3818504c1B32bF1557b16C238B2E01Fd3149C17,BNT,PLR,0.001,18,18,v2,1,Constant Product Pool,0x2843F6c3b14e698e3D7562584959C61274F93328
133,BNT_POWR,POWR_BNT,bancor,bancor_v2,0x6b4c964c197d873643A06c26Cd4a82d8f298682D,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x595832F8FC6BF59c85C527fEC3740A1b7a361269,BNT,POWR,0.001,18,6,v2,1,Constant Product Pool,0x168D7Bbf38E17941173a352f1352DF91a7771dF3
134,BNT_PSP,PSP_BNT,bancor,bancor_v2,0xe950137942F446a93C8309B3a7c1407ef1975856,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xcAfE001067cDEF266AfB7Eb5A286dCFD277f3dE5,BNT,PSP,0.005,18,18,v2,1,Constant Product Pool,0xdD17F899D4Fa66249bfdba45F0c70817052559Ac
