id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor
5733,1701411834604692317316873037158841057358,2023-06-02 02:48:09.79212,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,2696020490611200,4416648363926356,103539867,103539867,169432475,11605510599,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5734,2381976568446569244243622252022377480284,2023-06-02 02:49:10.300639,17390201,NaN,BNT-FF1C/USDC-eB48,carbon_v1,0.002,0.002,,,2500000000000000000000,2500000000000000000000,5049685635738288,6084248852693708,1000000000,1000000000,23850212,154170194,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5736,1701411834604692317316873037158841057365,2023-06-02 02:48:10.505489,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,9882507039899549,9882507039899549,0,0,17936137,0,99105201,11941971885,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5737,0x4abb8667d184226869e257e2b60fdd63aa0eeebdf86be9a2dba6c4cbc45e2006,2023-06-02 02:49:02.159711,17390200,uniswap_v3 USDC-eB48/LYXe-be6D 10000,USDC-eB48/LYXe-be6D,uniswap_v3,10000,0.01,,,,,,,,,,,24584935808737111616875121403285539,252918,200,1200335554272375,0x31AD100cEf4CbdBA0522A751541810d122d92120,NaN
5738,4423670769972200025023869896612986748990,2023-06-02 02:48:58.793932,17390200,NaN,vBNT-7f94/BNT-FF1C,carbon_v1,0.002,0.002,,,1122591140207918741378,1122591140207918741378,6315590202731,268375860102384,300000000000000000000,291945014162160582,7317261896309,267030609224556,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5739,1701411834604692317316873037158841057369,2023-06-02 02:48:11.216199,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,250000000000000000,250000000000000000,0,4414201427359729,446009466,446009466,0,10901478971,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5740,8507059173023461586584365185794205286446,2023-06-02 02:49:03.367715,17390200,NaN,Silo-B1f8/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,6409950565275210,0,0,0,0,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5741,0x71d367320e6ef3e9cf800f5cae020980d53f3acffee82b2c2a17512653ec92a7,2023-06-02 02:49:03.073112,17390200,uniswap_v3 USDC-eB48/CRV-cd52 10000,USDC-eB48/CRV-cd52,uniswap_v3,10000,0.01,,,,,,,,,,,87959760278696724997397868798299871,278415,200,77760250800924476,0x9445bd19767F73DCaE6f2De90e6cd31192F62589,NaN
5742,4423670769972200025023869896612986748965,2023-06-02 02:48:59.513976,17390200,NaN,vBNT-7f94/BNT-FF1C,carbon_v1,0.002,0.002,,,1027046276694731263152,1027046276694731263152,11425536572939,256950323529445,500000000000000000000,0,14444367486100,267030609224556,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5743,1701411834604692317316873037158841057371,2023-06-02 02:48:11.926718,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,2969733915348337697,1200555641927794791,2980772467594688,4416648363926356,8510987508,8510987508,336461286,11605510599,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5744,4083388403051261561560495289181218537493,2023-06-02 02:49:04.315589,17390201,NaN,WBTC-C599/USDC-eB48,carbon_v1,0.002,0.002,,,2827438,2827438,483712522794,16090853419632,1270214676,491707823,127896581504192,1550564903808408,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5745,4423670769972200025023869896612986748966,2023-06-02 02:49:00.26684,17390200,NaN,vBNT-7f94/BNT-FF1C,carbon_v1,0.002,0.002,,,1089255650988792984204,1089255650988792984204,13099116608272,268375860102384,500000000000000000000,0,15271736468478,251758872756078,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5746,1701411834604692317316873037158841057374,2023-06-02 02:48:12.639453,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,0,0,0,4423475823160755,0,0,0,11975098085,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5747,4083388403051261561560495289181218537579,2023-06-02 02:49:05.029894,17390201,NaN,WBTC-C599/USDC-eB48,carbon_v1,0.002,0.002,,,6000000,6000000,778453140377,16063055839226,1815613357,1815613357,712129130498884,1382384085082969,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5748,4423670769972200025023869896612986748976,2023-06-02 02:49:00.986793,17390200,NaN,vBNT-7f94/BNT-FF1C,carbon_v1,0.002,0.002,,,810415435921192052601,810415435921192052601,15225700205518,422212465065984,500000000000000000000,259385928441193498809,16260011272663,235498861483415,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
5749,1701411834604692317316873037158841057382,2023-06-02 02:48:13.34989,17390195,NaN,ETH-EEeE/USDC-eB48,carbon_v1,0.002,0.002,,,455916276671867295,455653680,0,4421836573316610,844317425,844317425,32935164,12011431384,0,,,,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,NaN
