id,name,tkn0_address,tkn1_address,tkn0_key,tkn1_key
70,BNT-FF1C/PHTR-22dA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xE1Fc4455f62a6E89476f1072530C20CF1A0622dA,BNT-FF1C,PHTR-22dA
71,BNT-FF1C/OPIUM-eC11,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x888888888889C00c67689029D7856AAC1065eC11,BNT-FF1C,OPIUM-eC11
72,BNT-FF1C/NMR-6671,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,BNT-FF1C,NMR-6671
73,BNT-FF1C/NDX-5F83,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x86772b1409b61c639EaAc9Ba0AcfBb6E238e5F83,BNT-FF1C,NDX-5F83
74,BNT-FF1C/MPH-35C5,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8888801aF4d980682e47f1A9036e589479e835C5,BNT-FF1C,MPH-35C5
75,BNT-FF1C/ZCN-3B78,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xb9EF770B6A5e12E45983C5D80545258aA38F3B78,BNT-FF1C,ZCN-3B78
76,BNT-FF1C/LRC-EafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,BNT-FF1C,LRC-EafD
77,BNT-FF1C/CROWN-E0fa,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x444d6088B0F625f8C20192623B3C43001135E0fa,BNT-FF1C,CROWN-E0fa
78,BNT-FF1C/DAPP-1649,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x939B462ee3311f8926c047D2B576C389092b1649,BNT-FF1C,DAPP-1649
79,BNT-FF1C/AMP-95C2,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,BNT-FF1C,AMP-95C2
80,BNT-FF1C/ANKR-EDD4,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,BNT-FF1C,ANKR-EDD4
81,BNT-FF1C/APW-60c8,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x4104b135DBC9609Fc1A9490E61369036497660c8,BNT-FF1C,APW-60c8
82,BNT-FF1C/ARCONA-52B3,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0f71B8De197A1C84d31de0F1fA7926c365F052B3,BNT-FF1C,ARCONA-52B3
83,BNT-FF1C/ARMOR-E46a,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1337DEF16F9B486fAEd0293eb623Dc8395dFE46a,BNT-FF1C,ARMOR-E46a
84,BNT-FF1C/AUC-5663,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc12d099be31567add4e4e4d0D45691C3F58f5663,BNT-FF1C,AUC-5663
85,BNT-FF1C/BBS-B430,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xFe459828c90c0BA4bC8b42F5C5D44F316700B430,BNT-FF1C,BBS-B430
86,BNT-FF1C/BORING-92CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xBC19712FEB3a26080eBf6f2F7849b417FdD792CA,BNT-FF1C,BORING-92CA
87,BNT-FF1C/COMP-6888,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc00e94Cb662C3520282E6f5717214004A7f26888,BNT-FF1C,COMP-6888
88,BNT-FF1C/DIP-cD83,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc719d010B63E5bbF2C0551872CD5316ED26AcD83,BNT-FF1C,DIP-cD83
89,BNT-FF1C/ACRE-FC21,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xb2cABf797bc907B049e4cCB5b84d13be3a8CFC21,BNT-FF1C,ACRE-FC21
90,BNT-FF1C/EDEN-1559,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1559FA1b8F28238FD5D76D9f434ad86FD20D1559,BNT-FF1C,EDEN-1559
91,BNT-FF1C/eRSDL-D3A6,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,BNT-FF1C,eRSDL-D3A6
92,BNT-FF1C/HEGIC-8430,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x584bC13c7D411c00c01A62e8019472dE68768430,BNT-FF1C,HEGIC-8430
93,BNT-FF1C/HOT-26E2,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6c6EE5e31d828De241282B9606C8e98Ea48526E2,BNT-FF1C,HOT-26E2
94,BNT-FF1C/ICHI-A881,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x903bEF1736CDdf2A537176cf3C64579C3867A881,BNT-FF1C,ICHI-A881
