cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,0
17ab601d-c5cf-404f-a28d-637546d8d44a,2023-05-06 19:24:25.002051,0,uniswap_v3 DIE-4aC7/WETH-6Cc2 10000,DIE-4aC7/WETH-6Cc2,uniswap_v3,10000.0,0.01,0xeF6319BB78f511c2f391b60DedA017Ea83EBE0E8,,0x6Ef6610d24593805144d73b13d4405E00A4E4aC7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DIE-4aC7,WETH-6Cc2,18.0,18.0,4,DIE,WETH,,,,,,,
17cc3edc-5e64-4e90-a1a7-c0026a88f4d7,2023-05-06 19:16:22.179566,17281292,uniswap_v3 WETH-6Cc2/HYVE-f7d4 3000,WETH-6Cc2/HYVE-f7d4,uniswap_v3,3000.0,0.003,0xC05bdD0c4b0d37B84207522bCC998EEdc9DEECeE,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd794DD1CAda4cf79C9EebaAb8327a1B0507ef7d4,WETH-6Cc2,HYVE-f7d4,18.0,18.0,4,WETH,HYVE,15:35:30,,,981538316376462524190,14708095972369732825966566159760,104481.0,
17d4eb5f-720d-4115-a0fc-1566dc2acb1c,2023-05-06 19:04:09.778319,0,uniswap_v3 GETH-74B8/WETH-6Cc2 10000,GETH-74B8/WETH-6Cc2,uniswap_v3,10000.0,0.01,0x6bFdAcD97be16b758762954786dc8226d4047a31,,0x3802c218221390025BCEABBaD5D8C59F40eB74B8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,GETH-74B8,WETH-6Cc2,18.0,18.0,4,GETH,WETH,,,,,,,
17f91913-d53d-44a1-8f67-68d9db509df6,2023-05-06 19:34:09.078134,0,uniswap_v2 PMON-D0b2/WETH-6Cc2 0.003,PMON-D0b2/WETH-6Cc2,uniswap_v2,0.003,0.003,0xbf4fF08b9A3bBb77A362b609119100545C0445FE,,0x1796ae0b0fa4862485106a0de9b654eFE301D0b2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,PMON-D0b2,WETH-6Cc2,18.0,18.0,3,PMON,WETH,,,,,,,
180cb6af-cac4-4978-812c-8344e50597e6,2023-05-06 19:47:12.451626,17281402,uniswap_v2 IDEX-cfAE/WETH-6Cc2 0.003,IDEX-cfAE/WETH-6Cc2,uniswap_v2,0.003,0.003,0xFCFe058EFA0bE5BCcFdD45e2C079997935FE0A64,,0xB705268213D593B8FD88d3FDEFF93AFF5CbDcfAE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,IDEX-cfAE,WETH-6Cc2,18.0,18.0,3,IDEX,WETH,15:34:19,27534951093569597457600,1084744211300066767,,,,
182729e7-da9e-4cb8-a295-d9cfaf7a83ed,2023-05-06 19:46:07.950741,0,uniswap_v2 WETH-6Cc2/$DOSA-1b8a 0.003,WETH-6Cc2/$DOSA-1b8a,uniswap_v2,0.003,0.003,0x9572069ab3e6392fd6746B2C1EcB55da8538DCc3,,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeE2B297408063E0967096bafDCfD1278d5BF1b8a,WETH-6Cc2,$DOSA-1b8a,18.0,18.0,3,WETH,$DOSA,,,,,,,
182e5170-4ae1-4438-84bc-138eb34315d8,2023-05-06 19:33:23.456579,0,uniswap_v2 SHKOOBY-11fb/WETH-6Cc2 0.003,SHKOOBY-11fb/WETH-6Cc2,uniswap_v2,0.003,0.003,0xBbBF1426CBe8509ef58451ab7ad67cB74866e3fA,,0x29A5c1Db7321C5c9EaE57F9366eE8eef00cA11fb,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,SHKOOBY-11fb,WETH-6Cc2,18.0,18.0,3,SHKOOBY,WETH,,,,,,,
18657a3d-bebb-4b56-a192-187a96795ef9,2023-05-06 19:14:09.262803,17281925,uniswap_v3 USDC-eB48/SNX-2a6F 10000,USDC-eB48/SNX-2a6F,uniswap_v3,10000.0,0.01,0x020C349A0541D76C16F501Abc6B2E9c98AdAe892,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,USDC-eB48,SNX-2a6F,6.0,18.0,4,USDC,SNX,15:35:05,,,189399770481932233,50291327921130546925317754682955470,267233.0,
186682eb-e60c-4036-bd61-0df80136ae2c,2023-05-06 19:31:13.289342,17281933,uniswap_v2 Ly-99F2/WETH-6Cc2 0.003,Ly-99F2/WETH-6Cc2,uniswap_v2,0.003,0.003,0xC05371628F77cd274D111EC9621B5D85f5945da2,,0x8686525d6627A25C68De82c228448f43c97999F2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Ly-99F2,WETH-6Cc2,9.0,18.0,3,Ly,WETH,15:34:31,8654297995058710158711297,142065014628411840240,,,,
186a2b75-515e-46cc-8ba7-e4fb67e84a00,2023-05-06 19:16:34.429112,0,uniswap_v3 MAXI-e84b/USDC-eB48 10000,MAXI-e84b/USDC-eB48,uniswap_v3,10000.0,0.01,0xF5595d56ccB6Cb87a463C558cAD04f49Faa61149,,0x0d86EB9f43C57f6FF3BC9E23D8F9d82503f0e84b,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,MAXI-e84b,USDC-eB48,8.0,6.0,4,MAXI,USDC,,,,,,,
