cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange
,,0.0,uniswap_v2 TX-5Fdf/WETH-6Cc2 0.003,TX-5Fdf/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x1A293Ca850F892fF10cCde9E7E16dAe2E899e9C1,,0x8954D907520532c1f0d89d42569232Fd0f995Fdf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TX-5Fdf,WETH-6Cc2,8.0,18.0,3.0,TX,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TXL-4b41/WETH-6Cc2 0.003,TXL-4b41/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x0Fdc86703C938e3E1cbc9E14f21c6BF709c13aCc,,0x8eEF5a82E6Aa222a60F009ac18c24EE12dBf4b41,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TXL-4b41,WETH-6Cc2,18.0,18.0,3.0,TXL,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TYC-658F/WETH-6Cc2 0.003,TYC-658F/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xc006EDd309edb27245fE4d536264Aa5A3D48Bb4F,,0x3A82D3111aB5faF39d847D46023d9090261A658F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TYC-658F,WETH-6Cc2,18.0,18.0,3.0,TYC,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TYRANT-ec27/WETH-6Cc2 0.003,TYRANT-ec27/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x3af73bB96B335fC0Fd2C4CF39Ce95F3ff8C8de66,,0x8EE325AE3E54e83956eF2d5952d3C8Bc1fa6ec27,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TYRANT-ec27,WETH-6Cc2,9.0,18.0,3.0,TYRANT,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 TZN-B4f4/WETH-6Cc2 0.003,TZN-B4f4/WETH-6Cc2,uniswap_v2,3000.0,0.003,0x63789AE77F03F8FD5e3233aB8E038B5863Fba7c5,,0x809BADCba2A21588bDaf0482Dc905d3eaCEfB4f4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,TZN-B4f4,WETH-6Cc2,18.0,18.0,,TZN,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 uAD-BEc6/UBQ-A9a0 0.003,uAD-BEc6/UBQ-A9a0,sushiswap_v2,3000.0,0.003,0x41e087485f47538752A1195D984109cB8Dc0E429,,0x0F644658510c95CB46955e55D7BA9DDa9E9fBEc6,0x4e38D89362f7e5db0096CE44ebD021c3962aA9a0,uAD-BEc6,UBQ-A9a0,18.0,18.0,,uAD,UBQ,,,,,,,60.0,sushiswap_v2
,,0.0,uniswap_v2 UBT-ee5e/ICNQ-390A 0.003,UBT-ee5e/ICNQ-390A,uniswap_v2,3000.0,0.003,0xB48011D1a86AA3c86Dcb141d50906084A592d855,,0x8400D94A5cb0fa0D041a3788e395285d61c9ee5e,0xB3e2Cb7CccfE139f8FF84013823Bf22dA6B6390A,UBT-ee5e,ICNQ-390A,8.0,18.0,3.0,UBT,ICNQ,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 UBT-ee5e/WETH-6Cc2 0.003,UBT-ee5e/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xB27dE0bA2abFbFdf15667a939f041b52118aF5Ba,,0x8400D94A5cb0fa0D041a3788e395285d61c9ee5e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,UBT-ee5e,WETH-6Cc2,8.0,18.0,3.0,UBT,WETH,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 UBXN-1065/USDC-eB48 0.003,UBXN-1065/USDC-eB48,uniswap_v2,3000.0,0.003,0x18A6175FdACB6F545c9380f8Fc61E7aE58Fc6e36,,0x7A73839bd0e5cdED853cB01aa9773F8989381065,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,UBXN-1065,USDC-eB48,18.0,6.0,3.0,UBXN,USDC,,,,,,,60.0,uniswap_v2
,,0.0,uniswap_v2 UCO-21fa/WETH-6Cc2 0.003,UCO-21fa/WETH-6Cc2,uniswap_v2,3000.0,0.003,0xF898301C2807e99AbAA39396A696D1202122d23e,,0x8a3d77e9d6968b780564936d15B09805827C21fa,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,UCO-21fa,WETH-6Cc2,18.0,18.0,3.0,UCO,WETH,,,,,,,60.0,uniswap_v2
